Nr. (gesamt),Nr. (Staffel),Datum,Kandidaten,Jäger,Zeit bzw. Punkte des Jägers,Finalisten,Geld­summe,Nr. (gesamt) [1][2],Nr. (gesamt)[3],Nr. (gesamt)[4][Anm. 2]
356,047,9. Aug. 2019,"Zekije Amiti, Jörg Dürckheimer, Katja Kunz, Jonas Schmidt",Sebastian Jacoby,01 Min. 51 Sek.,"Zekije, Jörg, Katja, Jonas mit 15 + 2 Punkten",012.000 €,,,
357,048,12. Aug. 2019,"Marwin Canpolat, Wilma Wojtzik, Helmuth Bohn, Sandra Falz",Thomas Kinne,01 Min. 19 Sek.,"Marwin, Helmut mit 13 + 1 Punkten",004.000 €,,,
358,049,13. Aug. 2019,"Volker Böge, Nadine Zabel, Daniel Griese, Michaela Hett",Sebastian Jacoby,02 Min.,Nadine (alle ausgeschieden) mit 15 + 3 Punkten,000.500 €,,,
359,050,14. Aug. 2019,"Jürgen Heger, Anja Kühler, Toni Scharf, Marlis Seelmann",Sebastian Klussmann,01 Min. 46 Sek.,"Jürgen, Anja, Marlis mit 13 + 3 Punkten",011.500 €,,,
360,051,15. Aug. 2019,"Birgit Hoppe, Kay Lenze, Dorothée Lampert, Max Diehm",Sebastian Klussmann,16 Punkte,"Dorothée, Max mit 17 + 1 Punkten",033.000 €,,,
361,052,16. Aug. 2019,"Hans Mitschke, Eleni Scholze, Christian Reichert, Nicole Hudman",Klaus Otto Nagorsnik,01 Min. 46 Sek.,Christian mit 15 + 2 Punkten,017.500 €,,,
362,053,16. Aug. 2019,"Fausto Pintus, Sabine Neis, Inga Lamprecht, Uwe Werner Alfred Bittner",Manuel Hobiger,01 Min. 29 Sek.,"Fausto, Sabine mit 14 + 1 Punkten",006.000 €,,,
363,054,19. Aug. 2019,"Pascal Schuster, Bianca Eifert-Koch, Ulrich Börder, Nicolle Hofmann",Thomas Kinne,01 Min. 48 Sek.,"Bianca, Ulrich, Nicolle mit 16 + 1 Punkten",026.500 €,,,
364,055,20. Aug. 2019,"Claus Klöckner, Cindy Lembke, Tobias Ulrich, Helga Roth",Klaus Otto Nagorsnik,01 Min. 20 Sek.,Cindy mit 10 Punkten,002.000 €,,,
365,056,21. Aug. 2019,"Stefanie Kunde, Torsten Bär, Carolin Weber, Daniel Kubsa",Sebastian Jacoby,01 Min. 27 Sek.,"Stefanie, Daniel mit 11 + 1 Punkten",008.500 €,,,
366,057,22. Aug. 2019,"Dietmar Broicher, Claudia Nickels, Christian Becker, Katharina Biber",Sebastian Klussmann,06 Punkte,"Dietmar, Christian, Katharina mit 16 + 8 Punkten",035.500 €,,,
367,058,23. Aug. 2019,"Franz Nübel, Marie-Luise Brzeski, Robert Biermeier, Anja Bernard",Manuel Hobiger,01 Min. 34 Sek.,"Franz, Marie-Luise, Anja mit 15 + 1 Punkten",030.500 €,,,
368,059,23. Aug. 2019,"Aramis (Roger) Caderousse, Jutta Mertens, Michael Bauer, Egzona Bahtiri",Klaus Otto Nagorsnik,01 Min. 51 Sek.,Aramis (alle ausgeschieden) mit 9 + 3 Punkten,000.500 €,,,
369,060,26. Aug. 2019,"Gabriele Zelle, Denis Karimani, Kristina Fünfer, Hans-Werner Dörr",Sebastian Jacoby,01 Min. 10 Sek.,"Gabriele, Denis mit 11 Punkten",005.500 €,,,
370,061,27. Aug. 2019,"Werner Hesselink, Susanne Roth, Steffen Klawitter, Anne Brandt",Thomas Kinne,06 Punkte,"Werner, Anne mit 15 + 6 Punkten",062.000 €,,,
371,062,28. Aug. 2019,"Manuela Kießl, Mathias Ehrich, Piera Baldari, Marcel Schirnweg",Klaus Otto Nagorsnik,01 Min. 56 Sek.,"Manuela, Mathias, Marcel mit 11 + 4 Punkten",017.500 €,,,
372,063,29. Aug. 2019,"Bianca Popa, Markus Fehlow, Tanja Schmidt, Florian Schirk",Manuel Hobiger,11 Punkte,"Markus, Tanja mit 15 + 4 Punkten",006.000 €,,,
373,064,30. Aug. 2019,"Marion Flach, Branimir Sunjic, Simone Maier, Thomas Simon",Thomas Kinne,01 Min. 40 Sek.,"Marion, Branimir mit 11 Punkten",006.500 €,,,
374,065,30. Aug. 2019,"Wolfgang Kahner, Monique Schlichting, Marco Marzano, Beate Weise",Sebastian Klussmann,01 Min. 16 Sek.,"Wolfgang, Beate mit 13 Punkten",009.000 €,,,
375,066,2. Sep. 2019,"Miguel Cifuentes Perello, Petra Kohl, Rene Maassen, Claudia Krafczyck",Sebastian Jacoby,01 Min. 49 Sek.,"Miguel, Claudia mit 7 + 1 Punkten",008.500 €,,,
376,067,3. Sep. 2019,"Andrea Drespling, Kawe Kukreja, Annette Bauer, Udo Birk",Thomas Kinne,01 Min. 45 Sek.,"Andrea, Kawe, Annette, Udo mit 14 + 1 Punkten",036.500 €,,,
377,068,4. Sep. 2019,"Aneke Dormbusch, Sven Vogel, Ann Katrin Kegel, Adrian Krull",Klaus Otto Nagorsnik,08 Punkte,"Aneke, Ann Katrin, Adrian mit 16 + 5 Punkten",012.000 €,,,
378,069,5. Sep. 2019,"Christopher „Chris“ Hopert, Pia Barth, Stefan Jürgensen, Leni Brem-Kiel",Sebastian Klussmann,01 Min. 41 Sek.,"Chris, Leni mit 13 + 1 Punkten",008.000 €,,,
379,070,6. Sep. 2019,"Hans-Jürgen Bracker, Ramona Sturm, Felix Gottwald, Sybille Jüthner",Sebastian Jacoby,13 Punkte,"Hans-Jürgen, Ramona, Felix mit 20 + 4 Punkten",037.000 €,,,
380,071,6. Sep. 2019,"Lars Siegler, Sarangerel Dashjav, Frank Fibikar, Nathalie Palotz",Sebastian Klussmann,01 Min. 50 Sek.,"Lars, Sarangerel, Nathalie mit 17 Punkten",010.000 €,,,
381,072,9. Sep. 2019,"Estibaliz Bössem, Marie-Luise Leberke, Vivica Schwan, Erin Stickler",Sebastian Klussmann,01 Min. 17 Sek.,Marie-Luise (alle ausgeschieden) mit 8 + 3 Punkten,000.500 €,,,
382,073,10. Sep. 2019,"Bettina Hofmann, André Hartien, Marie Wolf, Lukas A. Scheible",Klaus Otto Nagorsnik,17 Punkte,"Bettina, André, Marie mit 18 + 2 Punkten",008.500 €,,,
383,074,11. Sep. 2019,"Manuela Erb, Michael Hagemann, Luise Hauck, Hagen Führer",Thomas Kinne,07 Punkte,"Manuela, Michael, Hagen mit 18 + 7 Punkten",038.000 €,,,
384,075,12. Sep. 2019,"Anna-Sofie Dusartz, Helga Gräf, Berenike Klapper, Edith Sepehr-Maleky",Sebastian Jacoby,01 Min. 48 Sek.,"Anna-Sofie, Helga, Berenike, Edith mit 15 + 3 Punkten",021.500 €,,,
385,076,13. Sep. 2019,"Christel Besold, Florian Frings, Sarah Baldewig, Michael Dedio",Sebastian Klussmann,05 Punkte 0(8 nötig),"Christel, Florian mit 7 + 6 Punkten",004.000 €,,,
386,077,13. Sep. 2019,"Elke Damm, Philipp Stahlschmitt, Angeliki Muskietorz, Thomas Holler",Manuel Hobiger,01 Min. 45 Sek.,Angeliki mit 17 + 1 Punkten,004.000 €,,,
387,078,16. Sep. 2019,"Angelika Durieux, Enno Ladewig, Jasmin Heun, Wolfgang Jost",Klaus Otto Nagorsnik,016 Punkte,"Angelika, Enno, Wolfgang mit 17 + 2 Punkten",011.500 €,,,
388,079,17. Sep. 2019,"Irene Diemel-Timmermeister, Hendrik Hoenen, Vanessa Newinscheni, Lars Franke",Sebastian Klussmann,01 Min. 14 Sek.,Irene mit 8 + 2 Punkten,002.500 €,,,
389,080,18. Sep. 2019,"Wolf-Peter Geier, Kristin Rau, Tobias Scheel, Corinna Beckmann",Manuel Hobiger,08 Punkte,"Wolf-Peter, Tobias mit 16 + 4 Punkten",007.500 €,,,
390,081,19. Sep. 2019,"Edmund Stolze, Christiane Köhler, Konstantinos „Kosta“ Kopidakis, Daniela Biela",Thomas Kinne,01 Min. 54 Sek.,"Edmund, Christiane, Kosta, Daniela mit 16 + 1 Punkten",015.500 €,,,
391,082,20. Sep. 2019,"Stephania Fischer, André Krabbenhöft, Michaela Häusler, Dirk Grotkaß",Klaus Otto Nagorsnik,01 Min. 14 Sek.,Stephania mit 11 Punkten,010.000 €,,,
392,083,20. Sep. 2019,"Sigrid Hahnke, Samuel Tresp, Tanja Plach, Benjamin Eberling",Sebastian Jacoby,01 Min. 37 Sek. 0(14 nötig),"Sigrid, Benjamin mit 13 + 2 Punkten",004.000 €,,,
393[Anm. 9],084,23. Sep. 2019,"Klaus Hudert, Olga Ebel, Stefan Götz, Ottilla Ehren",Klaus Otto Nagorsnik,10 Punkte (zuvor 1 Min. 58 Sek.),"Olga, Stefan mit 11 + 2 Punkten",005.000 €,,,
394,085,24. Sep. 2019,"Helga Burki, Christian Frei, Franziska Fischer, Thorsten Koß",Manuel Hobiger,01 Min. 52 Sek.,Thorsten mit 15 + 3 Punkten,060.000 €,,,
395,086,25. Sep. 2019,"Nico Dehn, Beatrix Hieber, Gerrit Dolle, Caroline Brückner",Sebastian Jacoby,01 Min. 06 Sek. (fehlerlos),"Nico, Gerrit, Caroline mit 15 Punkten",007.500 €,,,
396,087,26. Sep. 2019,"Sybille Hartmann, Sebastian Klaus, Julia Schlosser, Stefan Fischer",Sebastian Klussmann,01 Min. 13 Sek.,"Sybille, Sebastian mit 10 + 1 Punkten",007.000 €,,,
397[Anm. 10][20],088,4. Jan. 2020,"Nathalie Braun, Thiemo Baumann, Sindy Pantak, Uwe Fröhlich",Sebastian Klussmann,01 Min. 38 Sek.,Uwe mit 13 + 1 Punkten,003.000 €,,,
398[Anm. 11],089,4. Jan. 2020,"Maria Hahn, Thorsten Claus, Michaela Hoppe, Mark Geberth-Hindermeyer",Sebastian Jacoby,01 Min. 31 Sek. (fehlerlos),Maria mit 7 Punkten,002.000 €,,,
XXL 6,S1,18. Apr. 2020,"Team 1: Helga Sitzmann, Pascal Müller, Jule Wülfken, Frank Petersilie",Sebastian Klussmann,01 Min. 23 Sek.,"Pascal, Frank mit 14 + 1 Punkten",010.000 €,,,
XXL 6,S1,18. Apr. 2020,"Team 2: Peter Wulwert, Olaf Kieslich, Torsten Tognotti, Anja Geber",Sebastian Jacoby,14 Punkte,"Olaf, Torsten, Anja mit 16 + 3 Punkten",040.000 €,,,
XXL 6,S1,18. Apr. 2020,"Team 3: Helga Wogatzki, Patrick Ganter, Anja Inhuber, Manfred",Sebastian Klussmann,13 Punkte 0(17 nötig),"Patrick, Anja, Manfred mit 16 + 3 Punkten",008.500 €,,,
399[Anm. 12],01,4. Mai 2020,"Fred Groth, Julia Seidel, Kai Kemmerzehl, Michaela Winkler",Klaus Otto Nagorsnik,01 Min. 44 Sek.,"Julia, Kai, Michaela mit 12 + 2 Punkten",021.000 €,,,
400,02,5. Mai 2020,"Manuel Stehlig, Vanessa Danschke, Felix Ulrich, Karin Lange",Sebastian Klussmann,01 Min. 56 Sek.,"Manuel, Vanessa mit 10 + 2 Punkten",006.000 €,,,
401,03,6. Mai 2020,"Michael Merkens, Silvia Büttner, Adrian Furtwängler, Simone Henke",Manuel Hobiger,04 Punkte 0(14 nötig),"Michael, Silvia, Adrian mit 13 + 5 Punkten",017.500 €,,,
402,04,7. Mai 2020,"Martina Freund-Krueger, Tobias Gollub, Laura Stratopoulos, Rainer Koslowski",Sebastian Jacoby,01 Min. 27 Sek.,"Martina, Laura, Rainer mit 12 Punkten",012.500 €,,,
403,05,8. Mai 2020,"Andrea Strelow, Thorben Lohse, Janine Gerleve, Michael Henrich",Thomas Kinne,01 Min. 26 Sek.,Janine mit 13 Punkten,004.500 €,,,
404,06,11. Mai 2020,"Knut Hartmann, Vanessa Wolf, Roland Hawlata, Heike Kronen",Sebastian Jacoby,01 Min. 44 Sek.,"Knut, Heike mit 13 + 1 Punkten",008.500 €,,,
405,07,12. Mai 2020,"Alva Dittrich, Joachim Schroetter, Doris Hilberger, Anthony Behrendt",Thomas Kinne,01 Min. 38 Sek.,"Alva, Joachim, Doris, Anthony mit 15 Punkten",015.500 €,,,
406,08,13. Mai 2020,"Dietrich Eckhardt, Nadine Engel, Tim Bachmann, Yvonne Raab",Klaus Otto Nagorsnik,14 Punkte,"Dietrich, Nadine, Tim mit 17 + 2 Punkten",011.500 €,,,
407,09,14. Mai 2020,"Daniel Haverkotte, Sandra Eder, Thomas Birkhahn, Gabi Gold",Manuel Hobiger,01 Min. 43 Sek.,"Sandra, Thomas, Gabi mit 12 + 2 Punkten",010.500 €,,,
408,010,15. Mai 2020,"Gerhard Koch, Stefanie Kaiser, Stefan Pagger, Katja Kleideiter",Sebastian Klussmann,01 Min. 19 Sek.,"Stefan, Katja mit 9 + 2 Punkten",008.000 €,,,
409,011,18. Mai 2020,"Horst Krämer, Julia Lata, Daniel Blom, Silke von Olnhausen",Sebastian Jacoby,16 Punkte,"Julia, Daniel, Silke mit 18 + 4 Punkten",006.000 €,,,
410[21],012,19. Mai 2020,"André Bürvenich, Julia Jung, Sebastian Lhotzky, Jana Klasberg",Klaus Otto Nagorsnik,01 Min. 47 Sek.,André mit 13 + 2 Punkten,005.500 €,,,
411,013,20. Mai 2020,"Renate Pötter, Philip Avdimetaj, Heike Heins, Klaus-Dieter Rudolph",Sebastian Klussmann,09 Punkte,"Renate, Philip, Klaus-Dieter mit 13 + 5 Punkten",014.500 €,,,
412,014,22. Mai 2020,"Matthias Köhler, Saskia Keil, Stefan Tomforde, Jasmin Trattner",Sebastian Jacoby,01 Min. 42 Sek.,"Saskia, Stefan mit 15 + 3 Punkten",008.000 €,,,
413,015,25. Mai 2020,"Michael Wunderlich, Rebecca Kraus, Maximilian Aicher, Heidi Freida-Bongartz",Klaus Otto Nagorsnik,01 Min. 19 Sek.,"Rebecca, Maximilian, Heidi mit 13 Punkten",016.000 €,,,
414,016,26. Mai 2020,"Sieglinde Vonau, Matthias Führ, Benita Reimer, Mehmet Izzet Uygun",Manuel Hobiger,14 Punkte,"Matthias, Benita mit 15 + 3 Punkten",006.000 €,,,
415,017,27. Mai 2020,"Hans Jörg Seiler, Margret Joswig, Oliver Krüger, Tina Trippens",Sebastian Klussmann,01 Min. 49 Sek. (fehlerlos),"Hans-Jörg, Oliver, Tina mit 10 Punkten",023.000 €,,,
416,018,28. Mai 2020,"Bettina Meyer, Sven Rohwetter, Lea Rohde, Uwe Wieser",Sebastian Jacoby,01 Min. 21 Sek.,Sven mit 12 + 1 Punkten,003.500 €,,,
417,019,29. Mai 2020,"Gerda Koltermann, Oliver Gahr, Walter Fedder, Bianca Flier",Thomas Kinne,01 Min. 27 Sek.,"Gerda, Oliver, Walter mit 14 + 1 Punkten",020.000 €,,,
418,020,2. Juni 2020,"Patrick Müller, Sabine Winter, Aniko Juhasz, Tobias Jäser",Sebastian Jacoby,01 Min. 05 Sek. (fehlerlos),"Aniko, Tobias mit 13 Punkten",005.000 €,,,
419,021,3. Juni 2020,"Petra Lehmann, David Sommer, Maja Hullmann, Armin Sabol",Manuel Hobiger,01 Min. 44 Sek.,"Petra, Maja, Armin mit 15 + 1 Punkten",034.000 €,,,
420,022,4. Juni 2020,"Melanie Sternberg, Jörg Scheithauder, Jessica Krzonkalla, Paul Bruch",Klaus Otto Nagorsnik,02 Min.,"Melanie, Jessica, Paul mit 13 + 2 Punkten",013.000 €,,,
421,023,5. Juni 2020,"Heike Amend, Helge Lorenz, Katrin Beckstein, Damir Pavic",Sebastian Jacoby,01 Min. 32 Sek.,"Heike, Helge, Katrin, Damir mit 13 + 2 Punkten",016.000 €,,,
422,024,8. Juni 2020,"Joachim Schmidt, Kathrin Zürl, Matthias Scheer, Marie Luise Schmitz",Sebastian Jacoby,01 Min. 53 Sek.,"Joachim, Kathrin mit 17 + 2 Punkten",009.000 €,,,
423,025,9. Juni 2020,"Reinhard Wiegel, Anna Catharina Bircher, Daniel Glang, Nicola Jahn",Sebastian Klussmann,14 Punkte,"Reinhard, Nicola mit 15 + 1 Punkten",008.500 €,,,
424,026,10. Juni 2020,"Sabina Doyen, Christian Emter, Christiane Hausdorf, Frank Haberkamp",Thomas Kinne,17 Punkte,"Christian, Christiane, Frank mit 18 + 1 Punkten",026.500 €,,,
425,027,11. Juni 2020,"Lara Kölle, Björn Kraft, Astrid Naujoks, Tim Esser",Klaus Otto Nagorsnik,01 Min. 11 Sek.,"Lara, Astrid, Tim mit 10 Punkten",010.000 €,,,
426,028,12. Juni 2020,"Uschi Batscheider, Florian Reikowski, Astrid Lange, Mario Abel",Sebastian Klussmann,01 Min. 16 Sek.,"Uschi, Florian, Astrid mit 14 Punkten",007.500 €,,,
427[Anm. 13][22],029,13. Juli 2020,"Thomas Höhne, Berit Palatinas, Claus Blümel, Kira Ponewaß",Sebastian Jacoby,01 Min. 39 Sek.,"Berit, Claus, Kira mit 14 + 2 Punkten",008.500 €,,,
428,030,14. Juli 2020,"Denise Mahnke, Julius Hinderfeld, Tanja Henningsen, Markus Eibel",Thomas Kinne,15 Punkte,"Julius, Tanja, Markus mit 20 + 4 Punkten",022.500 €,,,
429,031,15. Juli 2020,"Annika Smolarz, Nino Hunger, Meike Sackretz, Daniel Gerloff",Sebastian Klussmann,12 Punkte,"Annika, Nino, Meike mit 15 + 2 Punkten",010.000 €,,,
430[23],032,16. Juli 2020,"Sascha Hartwig, Gabriella Cselenyi, Tim Hobriant, Melanie Gorissen",Manuel Hobiger,01 Min. 56 Sek.,Gabriella (alle ausgeschieden) mit 10 Punkten,00 500 €,,,
431,033,17. Juli 2020,"Stephan Fehrenbach, Vanessa von Hartlieb, Thilo Fischer, Heidi Bär",Sebastian Jacoby,01 Min. 25 Sek.,"Stephan, Thilo, Heidi mit 14 + 2 Punkten",012.000 €,,,
XXL 7,S2,18. Juli 2020,"Team 1: Laura Wontorra, Matthias Matschke, Jasmin Tabatabai, Markus Krebs",Klaus Otto Nagorsnik,01 Min. 20 Sek.,Jasmin mit 15 Punkten,001.800 €,,,
XXL 7,S2,18. Juli 2020,"Team 2: Axel Stein, Gayle Tufts, Heino Ferch, Christine Urspruch",Manuel Hobiger,01 Min. 15 Sek.,Gayle mit 11 + 1 Punkten,017.000 €,,,
