Nr. (gesamt),Nr. (Staffel),Datum,Kandidaten,Jäger,Zeit bzw. Punkte des Jägers,Finalisten,Geld­summe,Nr. (gesamt) [1][2],Nr. (gesamt)[3],Nr. (gesamt)[4][Anm. 2]
440[24],042,30. Juli 2020,"Regina Fischer, Eike Burfeind, Michelle Kaltenecker, Volker Hunold",Klaus Otto Nagorsnik,10 Punkte,"Regina, Eike, Volker mit 20 + 6 Punkten",014.500 €,,,
441,043,31. Juli 2020,"Andreas Hädrich, Adena Ljesnjanin, Dominik Franke, Stefanie Floren",Manuel Hobiger,01 Min. 25 Sek.,"Andreas, Adena, Stefanie mit 16 Punkten",017.500 €,,,
442,044,3. Aug. 2020,"Silvia Voige, Manuel Ruben, Melissa Sell, Peter Schwendenmann",Sebastian Klussmann,01 Min. 14 Sek.,"Manuel, Melissa mit 12 Punkten",013.500 €,,,
443,045,4. Aug. 2020,"Katharina Böhler, Ted Koob, Anna Maria Kraus, Oliver Düsing",Manuel Hobiger,10 Punkte 0(13 nötig),"Katharina, Anna Maria mit 12 + 5 Punkten",007.000 €,,,
444,046,5. Aug. 2020,"Werner Heuer, Lisa Schönig, Tobias Lüdiger, Gaby Wode",Klaus Otto Nagorsnik,01 Min. 25 Sek.,"Werner, Gaby mit 11 + 2 Punkten",008.000 €,,,
445,047,6. Aug. 2020,"Martha Lewandowski, Günther Tribukalt, Tatjana Mitkos, Kai Pingel",Thomas Kinne,14 Punkte,"Martha, Günther, Tatjana mit 15 + 2 Punkten",009.500 €,,,
446,048,7. Aug. 2020,"Jutta Wolfseher, Philipp Kuhr, Dr. Andrea Herrmann, Uwe Heidner",Sebastian Jacoby,01 Min. 30 Sek.,"Jutta, Uwe mit 14 + 2 Punkten",004.500 €,,,
447,049,10. Aug. 2020,"Ulrich Harmgarth, Eva Redlingshöfer, Florian Karschen, Marina Cataldi",Klaus Otto Nagorsnik,01 Min. 51 Sek.,"Ulrich, Marina mit 13 + 2 Punkten",006.000 €,,,
448,050,11. Aug. 2020,"Rainer Ahrens, Waltraud Wulfhorst, Patrik Huch, Corinna Heyde",Thomas Kinne,14 Punkte 0(15 nötig),Rainer mit 14 + 3 Punkten,009.000 €,,,
449,051,12. Aug. 2020,"Veronika Straßer, Jonas Swelim, Tanja Terörde, Oliver Döscher",Sebastian Jacoby,01 Min. 20 Sek.,Oliver mit 16 Punkten,020.000 €,,,
450,052,13. Aug. 2020,"Kai Meinschien, Ramesch Malik, Bernd Potsch, Katrin Espeter",Manuel Hobiger,01 Min. 32 Sek.,"Kai, Katrin mit 15 + 1 Punkten",005.000 €,,,
451,053,14. Aug. 2020,"Patrick Orth Marquard, Jennifer Andreae, Michael Funk, Anemone Schlüter",Sebastian Klussmann,01 Min. 32 Sek.,Anemone mit 13 Punkten,015.000 €,,,
452,054,17. Aug. 2020,"Guido Marquardt, Holger Krause, Patricia Jürgens, Susi Braun",Sebastian Klussmann,16 Punkte,"Guido, Holger, Patricia, Susi mit 23 + 4 Punkten",020.500 €,,,
453,055,18. Aug. 2020,"Steffen Hendrik Pein, Ivonne Fleischhauer, Jörg Langrock, Carina Spreitzer",Klaus Otto Nagorsnik,01 Min. 13 Sek.,"Steffen, Ivonne, Jörg mit 14 Punkten",018.000 €,,,
454,056,19. Aug. 2020,"Jochen Rube, Paula Meyer, Jan Porwitzki, Daniela Engelmann",Sebastian Jacoby,01 Min. 04 Sek.,"Jan, Daniela mit 13 Punkten",005.000 €,,,
455,057,20. Aug. 2020,"Petra Raad, Jannick Vollmer, Sabine Schmidt, Christian Kusche",Sebastian Klussmann,01 Min. 58 Sek.,Christian mit 11 + 1 Punkten,002.500 €,,,
456,058,21. Aug. 2020,"Ulf Teubel, Leonie Zell, Eva Hoffmann, Aron Lesnik",Manuel Hobiger,01 Min. 46 Sek.,"Ulf, Leonie, Eva, Aron mit 18 Punkten",039.000 €,,,
457,059,24. Aug. 2020,"Susann Röthke, Stefan Postler, Melanie Hessling, Florian Wolz",Sebastian Jacoby,01 Min. 29 Sek.,"Susann, Florian mit 13 + 1 Punkten",004.200 €,,,
458,060,25. Aug. 2020,"Corinna Dieckmann, Stefan Bela Maras, Sybille Lüdecke, Carsten Schultz",Klaus Otto Nagorsnik,14 Punkte,Sybille mit 15 + 2 Punkten,002.000 €,,,
459,061,26. Aug. 2020,"Christian Weiß, Theresa Loll, Carlo Fauther, Pia Alberts",Sebastian Klussmann,01 Min. 13 Sek.,Christian mit 13 Punkten,004.500 €,,,
460,062,27. Aug. 2020,"Bianca Buck, René Koch Sol Posto, Thekla Fery, Lukas Hose",Manuel Hobiger,13 Punkte,"René, Thekla, Lukas mit 15 + 3 Punkten",017.005 €,,,
461,063,28. Aug. 2020,"Andreas Vogt, Silvana Steinberg, Michael Robertz, Susanne Seitz",Thomas Kinne,01 Min. 01 Sek.,Susanne mit 11 Punkten,002.000 €,,,
462,064,31. Aug. 2020,"Alexander Hanke, Anne Nelles, Maria Jose Monotoro Fernandez, Michael Fucker",Klaus Otto Nagorsnik,01 Min. 16 Sek.,"Anne, Michael mit 12 Punkten",007.000 €,,,
463,065,1. Sep. 2020,"Luca Lanwert, Aline Masson, Alexander Kulpok, Britta Melcher",Manuel Hobiger,01 Min. 00 Sek. (fehlerlos),"Aline, Britta mit 10 Punkten",003.500 €,,,
464,066,2. Sep. 2020,"Ina Schmidt, Marcel Hosenthien, Frauke Uhlenbroock, Stefan Herbort",Thomas Kinne,12 Punkte,"Ina, Frauke, Stefan mit 19 + 4 Punkten",016.000 €,,,
465,067,3. Sep. 2020,"Dirk Singer, Andrea Reckenthäler, Jens Ehlert, Andrea Neumann",Sebastian Jacoby,01 Min. 47 Sek.,"Dirk, Andrea R. mit 16 + 3 Punkten",007.000 €,,,
466,068,4. Sep. 2020,"Peter Weihermüller, Juliane Kroner, Maximilian Aulbert, Tanja Mlakar",Sebastian Klussmann,10 Punkte 0(18 nötig),"Peter, Juliane, Maximilian, Tanja mit 17 + 7 Punkten",009.000 €,,,
467,069,7. Sep. 2020,"Paul Birkenbach, Henriette Kamm, Thorsten Facius, Irena Avilova",Sebastian Klussmann,01 Min. 42 Sek. (fehlerlos),Paul mit 9 Punkten,003.500 €,,,
468,070,8. Sep. 2020,"Norbert Peters, Therese Flämig, Kevin Lanwert, Jasmin Jabeur",Klaus Otto Nagorsnik,1 Min. 33 Sek.,"Norbert, Therese mit 15 Punkten",008.500 €,,,
469,071,9. Sep. 2020,"Ulrich Wölfer, Johanna Ballez, Tim Garbs, Christa Dorn",Manuel Hobiger,15 Punkte,"Ulrich, Johanna, Tim, Christa mit 19 + 3 Punkten",020.500 €,,,
470,072,10. Sep. 2020,"Salsabil Hamadache, Jens Fitzner, Monika Pokrandt, Daniel Arzner",Sebastian Klussmann,1 Min. 23 Sek.,"Salsabil, Monika mit 14 + 1 Punkten",017.000 €,,,
471,073,11. Sep. 2020,"Rudi Kettner, Alina Eckhoff, Linus Scholz, Alkim Ari",Sebastian Jacoby,1 Min. 18 Sek.,"Linus, Alkim mit 15 Punkten",043.000 €,,,
472,074,14. Sep. 2020,"Vitalij Dederle, Jenifer Faselt, Hubertus Hager, Norma Knopf",Manuel Hobiger,01 Min. 16 Sek. (fehlerlos),Norma mit 4 Punkten,002.500 €,,,
473,075,15. Sep. 2020,"Sven Vierk, Vera Straetmanns, Kevin Ströh, Sandra Hemberger",Sebastian Klussmann,11 Punkte,"Sven, Vera, Kevin mit 15 + 5 Punkten",020.000 €,,,
474,076,16. Sep. 2020,"Carsten Fährmeister, Christine Franzreb, Manfred Nielson, Jelena Duwe",Klaus Otto Nagorsnik,1 Min. 46 Sek.,"Carsten, Christine, Jelena mit 17 + 1 Punkten",022.000 €,,,
475,077,17. Sep. 2020,"Tim Wilberg, Anke Baumann, Lars Ruth, Barbara Jaudes",Thomas Kinne,16 Punkte,"Tim, Lars, Barbara mit 19 + 4 Punkten",009.000 €,,,
476,078,21. Sep. 2020,"Sebastian Hauck, Henriette Hecker, Hans-Joachim Klöpfel, Katrin Bürck",Sebastian Klussmann,1 Min. 53 Sek.,"Sebastian, Henriette, Hans-Joachim, Katrin mit 15 + 2 Punkten",022.500 €,,,
477,079,22. Sep. 2020,"Christa Ruppert, Michael Schade, Carmen Lein, Gottfried Kalischko",Manuel Hobiger,1 Min. 48 Sek.,"Christa, Michael mit 16 + 2 Punkten",016.500 €,,,
478,080,23. Sep. 2020,"Jens Fülling, Katharina Helmer, Simon Reiss, Connie Kreher",Thomas Kinne,16 Punkte,"Jens, Simon, Connie mit 18 + 2 Punkten",009.500 €,,,
479,081,24. Sep. 2020,"Manfred Baue, Eva Lange, Andreas Ulsamer, Barbara Speckner",Sebastian Jacoby,1 Min. 26 Sek.,Eva mit 17 Punkten,005.000 €,,,
480,082,25. Sep. 2020,"Jannik Ranft, Sabine Strehl, Christian Röhling, Claudia Pohl",Sebastian Klussmann,1 Min. 02 Sek.,"Jannik, Christian mit 10 Punkten",004.500 €,,,
481,083,28. Sep. 2020,"Matthias Mitsch, Elisabeth Gruber, Franziska Alexandre, Michael Kuhna",Manuel Hobiger,1 Min. 34 Sek.,"Matthias, Franziska, Michael mit 14 + 1 Punkten",009.000 €,,,
482,084,29. Sep. 2020,"Adrian Fricke, Hanne Koska, Ralf Müller-Arnold, Karl Seidler",Sebastian Klussmann,1 Min. 16 Sek.,Ralf mit 9 + 1 Punkten,001.500 €,,,
483,085,30. Sep. 2020,"Stefan Stang, Karoline Greve, Marcel Kamphenkel, Peggy Koschella",Sebastian Jacoby,01 Min. 51 Sek.,Marcel mit 9 Punkten,030.000 €,,,
484,086,1. Okt. 2020,"Julien Flad, Robert Oszkinat, Ursula Nöthen, Tom Kräplin-Kiank",Manuel Hobiger,1 Min. 49 Sek.,"Julien, Robert, Ursula mit 15 + 2 Punkten",006.500 €,,,
485,087,2. Okt. 2020,"Manuela Heß, Erik Maronde, Markus Hoffmann, Katharina Lewer",Sebastian Klussmann,1 Min. 50 Sek.,"Manuela, Erik, Markus, Katharina mit 16 + 1 Punkten",022.500 €,,,
486,088,5. Okt. 2020,"Johannes Hülstrung, Ulrike Rohne, Alexander Scholz, Ina Mazejus",Sebastian Jacoby,1 Min. 35 Sek.,Johannes mit 12 + 2 Punkten,005.000 €,,,
487,089,6. Okt. 2020,"Marcus-Philipp Meyer, Nurcan Aydin, Joachim Grabowski, Melanie Hilscher",Manuel Hobiger,1 Min. 27 Sek.,"Nurcan, Joachim mit 12 + 1 Punkten",005.000 €,,,
488,090,7. Okt. 2020,"Hans-Martin Kolasinski, Katharina Luger, Jan-Philipp Müller, Andrea Kunze",Sebastian Klussmann,14 Punkte,"Hans-Martin, Katharina, Jan-Philipp mit 16 + 3 Punkten",008.000 €,,,
489,091,8. Okt. 2020,"Thomas Trautwein, Wencke Strommenger-Obst, Dominik Osteroth, Lena Monreal",Klaus Otto Nagorsnik,10 Punkte,"Thomas, Wencke, Lena mit 14 + 5 Punkten",007.000 €,,,
490,092,9. Okt. 2020,"Dieter Haefke, Rita Eckmann, Jakob Fuhrmann, Sabine Nowak",Manuel Hobiger,1 Min. 50 Sek.,"Dieter, Jakob, Sabine mit 15 + 2 Punkten",011.000 €,,,
491,093,12. Okt. 2020,"Norbert Scharfenberg, Rosina Bomanns, Ulrike Olf, Tray Minh Voong",Sebastian Jacoby,1 Min. 35 Sek.,"Norbert, Ulrike, Minh mit 15 + 1 Punkten",011.500 €,,,
492,094,13. Okt. 2020,"Elena Walz, Arne Vogler, Astrid Seiffen, Thorsten Walter",,,,,,,
493,095,14. Okt. 2020,"Rainer Kilian, Gina Hesselhaus, Matthias Baier, Ingrid Clausmayer",,,,,,,
494,096,15. Okt. 2020,"Julian Wagner, Ann-Kristin Vester, Jens-Uwe Schlegel, Susanne Laukel",,,,,,,
495,097,16. Okt. 2020,"Katharina Striebich, Lennart Rademacher, Sarah Walzel, Sascha Röhling",,,,,,,
496,098,19. Okt. 2020,,,,,,,,
497,099,20. Okt. 2020,,,,,,,,
498,100,21. Okt. 2020,,,,,,,,
499,101,22. Okt. 2020,,,,,,,,
500,102,23. Okt. 2020,,,,,,,,
Radiomoderatoren 1,S3,26. Okt. 2020,,,,,,,,
Radiomoderatoren 2,S4,27. Okt. 2020,,,,,,,,
Radiomoderatoren 3,S5,28. Okt. 2020,,,,,,,,
Radiomoderatoren 4,S6,29. Okt. 2020,,,,,,,,
Radiomoderatoren 5,S7,30. Okt. 2020,,,,,,,,
501,103,2. Nov. 2020,,,,,,,,
502,104,3. Nov. 2020,,,,,,,,
503,105,4. Nov. 2020,,,,,,,,
504,106,5. Nov. 2020,,,,,,,,
505,107,6. Nov. 2020,,,,,,,,
